id,original_title,overview,popularity,title,vote_average,title_sentiment,overview_sentiment,title_length,num_words_in_title,average_title_word_length,has_made_up_word,made_up_word_count
13275,Annapolis,"Jake Huard, from a shipbuilders family, promised his dying mother he'ld make it to Anapolis Naval Academy. Thanks to tenaciously bugging a Congressman, he's selected despite dubious grades. Once inside, Jake soon proves sub-standard academically. Constantly challenged to his limits, repeatedly made the 'over-cocky' reason for the entire class to suffer, Jake nearly quits, but after facing his utterly un-supportive father's gloating returns just in time. Stubborn Jake finds support withs mates as well as Senor Ali, his lover-to-be, and a discipline he may excel in: the 'brigade' boxing tournament, open to all ranks.",26.565,Annapolis,6.824,0.0,0.8154,9.0,1.0,9.0,False,0.0
1037858,The Soccer Football Movie,"When mysterious green slime monsters start popping out of soccer balls, all-star athletes Zlatan Ibrahimović and Megan Rapinoe must team up with their four biggest fans to stop evil scientist ""Weird Al"" Yankovic from stealing their talent.",33.6,The Soccer Football Movie,5.9,0.0,-0.8481,25.0,4.0,5.5,False,0.0
463272,Johnny English Strikes Again,"Disaster strikes when a criminal mastermind reveals the identities of all active undercover agents in Britain. The secret service can now rely on only one man - Johnny English. Currently teaching at a minor prep school, Johnny springs back into action to find the mysterious hacker. For this mission to succeed, he’ll need all of his skills - what few he has - as the man with yesterday’s analogue methods faces off against tomorrow’s digital technology.",37.569,Johnny English Strikes Again,6.265,-0.3612,-0.6249,28.0,4.0,6.25,False,0.0
280217,The Lego Movie 2: The Second Part,"It's been five years since everything was awesome and the citizens are facing a huge new threat: LEGO DUPLO® invaders from outer space, wrecking everything faster than they can rebuild.",27.82,The Lego Movie 2: The Second Part,6.669,0.0,0.4588,33.0,7.0,3.857142857142857,True,1.0
59436,Midnight in Paris,A romantic comedy about a family traveling to the French capital for business. The party includes a young engaged couple forced to confront the illusion that a life different from their own is better.,31.312,Midnight in Paris,7.534,0.0,0.8316,17.0,3.0,5.0,False,0.0
524,Casino,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",45.559,Casino,8.01,0.0,-0.2846,6.0,1.0,6.0,False,0.0
975056,Cabrini,"Italian immigrant Francesca Cabrini arrives in 1889 New York City and is greeted by disease, crime, and impoverished children. Cabrini sets off on a daring mission to convince the hostile mayor to secure housing and healthcare for society's most vulnerable. With broken English and poor health, Cabrini uses her entrepreneurial mind to build an empire of hope unlike anything the world had ever seen.",40.927,Cabrini,7.455,0.0,-0.5936,7.0,1.0,7.0,True,1.0
16871,Drag Me to Hell,"After denying a woman the extension she needs to keep her home, loan officer Christine Brown sees her once-promising life take a startling turn for the worse. Christine is convinced she's been cursed by a Gypsy, but her boyfriend is skeptical. Her only hope seems to lie in a psychic who claims he can help her lift the curse and keep her soul from being dragged straight to hell.",36.059,Drag Me to Hell,6.4,-0.7579,-0.8126,15.0,4.0,3.0,False,0.0
258230,A Monster Calls,A boy imagines a monster that helps him deal with his difficult life and see the world in a different way.,35.31,A Monster Calls,7.266,0.0,0.0258,15.0,3.0,4.333333333333333,False,0.0
417261,Forever My Girl,"After being gone for a decade, a country star returns home to the love he left behind.",39.056,Forever My Girl,7.605,0.0,0.6369,15.0,3.0,4.333333333333333,False,0.0
